	id_sent	head	dep	SCORE	type	sent	Title	Author	Created	Sphere	Type	Topic	Publication	Publ_year	Medium
937	147	высылает	отдел	0	nsubj	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
938	147	района	павловского	0	amod	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
939	147	администрации	района	0	nmod	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
940	147	края	краснодарского	0	amod	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
941	147	района	края	0	nmod	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
942	147	высылает	вам	0	iobj	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
943	147	высылает	статью	0	obj	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
944	147	статью	академика	0	nmod	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
945	147	академика	аман	0	nmod	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
947	147	члена	союза	0	nmod	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
948	147	союза	композиторов	0	nmod	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
949	147	композиторов	россии	0	nmod	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
953	147	просьбой	с	1	case	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
954	147	высылает	просьбой	0	obl	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
955	147	просьбой	напечатать	0	nmod	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
956	147	напечатать	её	0	obj	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
957	147	журнале	в	0	case	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
958	147	напечатать	журнале	0	obl	Отдел культуры администрации Павловского района Краснодарского края высылает вам статью академика АМАН,  члена Союза композиторов России Ильи Антоновича Петрусенко с просьбой напечатать её в журнале.	Илья Петрусенко. Я вдыхаю ветер воли… // «Народное творчество», 2003	Илья Петрусенко	2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
959	149	сообщение	за	0	case	Спасибо за сообщение.	Письмо пары студентов паре студентов (2004)		2004	нехудожественная | бытовая	письмо личное	частная жизнь			электронный текст
960	150	созвездии	в	0	case	В созвездии Льва обнаружено крупнейшее скопление галактик.	Самый большой объект во вселенной // «Знание -- сила», 2003		2003	нехудожественная | публицистика	заметка	химия | наука и технологии	«Знание -- сила»	2003	журнал
961	150	обнаружено	созвездии	0	obl	В созвездии Льва обнаружено крупнейшее скопление галактик.	Самый большой объект во вселенной // «Знание -- сила», 2003		2003	нехудожественная | публицистика	заметка	химия | наука и технологии	«Знание -- сила»	2003	журнал
962	150	созвездии	льва	1	nmod	В созвездии Льва обнаружено крупнейшее скопление галактик.	Самый большой объект во вселенной // «Знание -- сила», 2003		2003	нехудожественная | публицистика	заметка	химия | наука и технологии	«Знание -- сила»	2003	журнал
963	150	скопление	крупнейшее	0	amod	В созвездии Льва обнаружено крупнейшее скопление галактик.	Самый большой объект во вселенной // «Знание -- сила», 2003		2003	нехудожественная | публицистика	заметка	химия | наука и технологии	«Знание -- сила»	2003	журнал
964	150	обнаружено	скопление	0	nsubj:pass	В созвездии Льва обнаружено крупнейшее скопление галактик.	Самый большой объект во вселенной // «Знание -- сила», 2003		2003	нехудожественная | публицистика	заметка	химия | наука и технологии	«Знание -- сила»	2003	журнал
965	150	скопление	галактик	0	nmod	В созвездии Льва обнаружено крупнейшее скопление галактик.	Самый большой объект во вселенной // «Знание -- сила», 2003		2003	нехудожественная | публицистика	заметка	химия | наука и технологии	«Знание -- сила»	2003	журнал
966	151	ивангардизм	про	0	case	Помнишь,  была шутка про ивангардизм и абрамгардизм.	Письмо мужчины к женщине (2003)		2003	нехудожественная | бытовая	письмо личное	частная жизнь			рукопись
967	151	шутка	ивангардизм	0	nmod	Помнишь,  была шутка про ивангардизм и абрамгардизм.	Письмо мужчины к женщине (2003)		2003	нехудожественная | бытовая	письмо личное	частная жизнь			рукопись
968	151	абрамгардизм	и	0	cc	Помнишь,  была шутка про ивангардизм и абрамгардизм.	Письмо мужчины к женщине (2003)		2003	нехудожественная | бытовая	письмо личное	частная жизнь			рукопись
970	152	ремиссия	московская	1	amod	Московская ремиссия.	Галина Подкопаева. Московская ремиссия. Чемпионат Европы закончился, чемпионата мира может и не быть // «Известия», 2002.07.10	Галина Подкопаева	2002	нехудожественная | публицистика	статья	спорт	«Известия»	2002.07.10	газета
971	153	форум	европейский	0	amod	Европейский форум бухгалтеров.	Европейский форум бухгалтеров // «Бухгалтерский учёт», 2003.06.16		2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Бухгалтерский учёт»	2003.06.16	журнал
972	153	форум	бухгалтеров	0	nmod	Европейский форум бухгалтеров.	Европейский форум бухгалтеров // «Бухгалтерский учёт», 2003.06.16		2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Бухгалтерский учёт»	2003.06.16	журнал
973	155	осознали	силу	0	obj	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
974	155	сша	к	0	case	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
975	155	любви	сша	0	nmod	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
976	155	осознали	недавно	0	advmod	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
977	155	вашингтоне	даже	0	advmod	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
978	155	вашингтоне	и	0	advmod	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
979	155	вашингтоне	в	0	case	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
980	155	посвящённое	вашингтоне	0	obl	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
981	155	осознали	устроив	0	advcl	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
982	155	совещание	специальное	0	amod	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
983	155	устроив	совещание	0	obj	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
984	155	госдепе	в	0	case	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
985	155	совещание	госдепе	0	nmod	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
986	155	совещание	посвящённое	0	acl	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
987	155	посвящённое	росту	0	iobj	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
988	155	росту	антиамериканизма	1	nmod	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
989	155	мире	во	0	case	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
990	155	мире	всём	0	amod	Силу любви к США недавно осознали даже и в Вашингтоне,  устроив специальное совещание в Госдепе,  посвящённое росту антиамериканизма во всём мире.	Максим Соколов. Меня уже никто не любит. Колонка обозревателя // «Известия», 2002.09.25	Максим Соколов	2002	нехудожественная | публицистика	комментарий	политика и общественная жизнь	«Известия»	2002.09.25	газета
992	156	знакомые	слова	0	nsubj	Слова знакомые и незнакомые									
993	156	незнакомые	и	0	cc	Слова знакомые и незнакомые									
996	157	слово	греческое	0	amod	Напомним читателям,  что греческое слово анабазис означает военный поход.	Чудовищный анабазис рядового Пантюхова // «Криминальная хроника», 2003.07.24		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.07.24	газета
997	157	означает	слово	0	nsubj	Напомним читателям,  что греческое слово анабазис означает военный поход.	Чудовищный анабазис рядового Пантюхова // «Криминальная хроника», 2003.07.24		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.07.24	газета
998	157	означает	анабазис	0	nsubj	Напомним читателям,  что греческое слово анабазис означает военный поход.	Чудовищный анабазис рядового Пантюхова // «Криминальная хроника», 2003.07.24		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.07.24	газета
999	157	поход	военный	0	amod	Напомним читателям,  что греческое слово анабазис означает военный поход.	Чудовищный анабазис рядового Пантюхова // «Криминальная хроника», 2003.07.24		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.07.24	газета
1000	157	означает	поход	0	obj	Напомним читателям,  что греческое слово анабазис означает военный поход.	Чудовищный анабазис рядового Пантюхова // «Криминальная хроника», 2003.07.24		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.07.24	газета
1001	158	свободословам	и	0	cc	"О. Лацису и другим ""свободословам"" "	Владимир Плотников. СМИ без цензуры - диктатура халтуры // «Советская Россия», 2003.08.19	Владимир Плотников	2003	нехудожественная | публицистика	статья	политика и общественная жизнь	«Советская Россия»	2003.08.19	газета
1002	158	свободословам	другим	0	amod	"О. Лацису и другим ""свободословам"" "	Владимир Плотников. СМИ без цензуры - диктатура халтуры // «Советская Россия», 2003.08.19	Владимир Плотников	2003	нехудожественная | публицистика	статья	политика и общественная жизнь	«Советская Россия»	2003.08.19	газета
1003	159	лет	семнадцать	0	nummod:gov	Семнадцать лет на благо вражеского отечества	Екатерина Унжанова. Семнадцать лет на благо вражеского отечества // «Отечественные записки», 2003	Екатерина Унжанова	2003	нехудожественная | публицистика	рецензия	история | наука и технологии	«Отечественные записки»	2003	журнал
1004	159	благо	на	3	case	Семнадцать лет на благо вражеского отечества	Екатерина Унжанова. Семнадцать лет на благо вражеского отечества // «Отечественные записки», 2003	Екатерина Унжанова	2003	нехудожественная | публицистика	рецензия	история | наука и технологии	«Отечественные записки»	2003	журнал
1005	159	лет	благо	1	nmod	Семнадцать лет на благо вражеского отечества	Екатерина Унжанова. Семнадцать лет на благо вражеского отечества // «Отечественные записки», 2003	Екатерина Унжанова	2003	нехудожественная | публицистика	рецензия	история | наука и технологии	«Отечественные записки»	2003	журнал
1006	159	отечества	вражеского	0	amod	Семнадцать лет на благо вражеского отечества	Екатерина Унжанова. Семнадцать лет на благо вражеского отечества // «Отечественные записки», 2003	Екатерина Унжанова	2003	нехудожественная | публицистика	рецензия	история | наука и технологии	«Отечественные записки»	2003	журнал
1007	159	благо	отечества	1	nmod	Семнадцать лет на благо вражеского отечества	Екатерина Унжанова. Семнадцать лет на благо вражеского отечества // «Отечественные записки», 2003	Екатерина Унжанова	2003	нехудожественная | публицистика	рецензия	история | наука и технологии	«Отечественные записки»	2003	журнал
1008	160	гвардия	молодая	2	amod	Молодая гвардия.	Владимир Ляпоров. Молодая гвардия. Искусство быстрого завоевания новых рынков сбыта // «Бизнес-журнал», 2003.10.23	Владимир Ляпоров	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Бизнес-журнал»	2003.10.23	журнал
1009	161	контракт	экспортный	0	amod	эКспортный контракт:  авансы и НДС.	Экспортный контракт: авансы и НДС // «Бухгалтерский учёт», 2004.12.06		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Бухгалтерский учёт»	2004.12.06	журнал
1011	161	ндс	и	0	cc	эКспортный контракт:  авансы и НДС.	Экспортный контракт: авансы и НДС // «Бухгалтерский учёт», 2004.12.06		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Бухгалтерский учёт»	2004.12.06	журнал
1013	162	сказка	новогодняя	1	amod	Новогодняя Сказка									
1014	163	блоке	на	0	case	Байрон на Блоке.	Семен Новопрудский. Байрон на Блоке. Волейбольная сборная России на чемпионате мира выступает в стиле революционного романтизма // «Известия», 2002.10.07	Семен Новопрудский	2002	нехудожественная | публицистика	статья	спорт	«Известия»	2002.10.07	газета
1015	164	вопросы	на	0	case	На ваши вопросы отвечает врач-сексолог Вероника Стрельникова.	Скажите, доктор... // «Даша», 2004		2004	нехудожественная | публицистика	заметка	здоровье и медицина	«Даша»	2004	журнал
1016	164	вопросы	ваши	0	det	На ваши вопросы отвечает врач-сексолог Вероника Стрельникова.	Скажите, доктор... // «Даша», 2004		2004	нехудожественная | публицистика	заметка	здоровье и медицина	«Даша»	2004	журнал
1017	164	отвечает	вопросы	0	obl	На ваши вопросы отвечает врач-сексолог Вероника Стрельникова.	Скажите, доктор... // «Даша», 2004		2004	нехудожественная | публицистика	заметка	здоровье и медицина	«Даша»	2004	журнал
1018	164	отвечает	врач-сексолог	0	nsubj	На ваши вопросы отвечает врач-сексолог Вероника Стрельникова.	Скажите, доктор... // «Даша», 2004		2004	нехудожественная | публицистика	заметка	здоровье и медицина	«Даша»	2004	журнал
1019	164	врач-сексолог	вероника	0	appos	На ваши вопросы отвечает врач-сексолог Вероника Стрельникова.	Скажите, доктор... // «Даша», 2004		2004	нехудожественная | публицистика	заметка	здоровье и медицина	«Даша»	2004	журнал
1021	165	называются	так	0	advmod	Так называются традиционные всероссийские соревнования,  проводимые ежегодно в Чебоксарах.	Рождественские гонки // «Марийская правда» (Йошкар-Ола), 2003.01.10		2003	нехудожественная | публицистика	заметка	спорт	«Марийская правда» (Йошкар-Ола)	2003.01.10	газета
1022	165	соревнования	традиционные	0	amod	Так называются традиционные всероссийские соревнования,  проводимые ежегодно в Чебоксарах.	Рождественские гонки // «Марийская правда» (Йошкар-Ола), 2003.01.10		2003	нехудожественная | публицистика	заметка	спорт	«Марийская правда» (Йошкар-Ола)	2003.01.10	газета
1023	165	соревнования	всероссийские	0	amod	Так называются традиционные всероссийские соревнования,  проводимые ежегодно в Чебоксарах.	Рождественские гонки // «Марийская правда» (Йошкар-Ола), 2003.01.10		2003	нехудожественная | публицистика	заметка	спорт	«Марийская правда» (Йошкар-Ола)	2003.01.10	газета
1024	165	называются	соревнования	0	nsubj	Так называются традиционные всероссийские соревнования,  проводимые ежегодно в Чебоксарах.	Рождественские гонки // «Марийская правда» (Йошкар-Ола), 2003.01.10		2003	нехудожественная | публицистика	заметка	спорт	«Марийская правда» (Йошкар-Ола)	2003.01.10	газета
1025	165	соревнования	проводимые	0	acl	Так называются традиционные всероссийские соревнования,  проводимые ежегодно в Чебоксарах.	Рождественские гонки // «Марийская правда» (Йошкар-Ола), 2003.01.10		2003	нехудожественная | публицистика	заметка	спорт	«Марийская правда» (Йошкар-Ола)	2003.01.10	газета
1026	165	проводимые	ежегодно	0	advmod	Так называются традиционные всероссийские соревнования,  проводимые ежегодно в Чебоксарах.	Рождественские гонки // «Марийская правда» (Йошкар-Ола), 2003.01.10		2003	нехудожественная | публицистика	заметка	спорт	«Марийская правда» (Йошкар-Ола)	2003.01.10	газета
1027	165	чебоксарах	в	0	case	Так называются традиционные всероссийские соревнования,  проводимые ежегодно в Чебоксарах.	Рождественские гонки // «Марийская правда» (Йошкар-Ола), 2003.01.10		2003	нехудожественная | публицистика	заметка	спорт	«Марийская правда» (Йошкар-Ола)	2003.01.10	газета
1028	165	проводимые	чебоксарах	0	obl	Так называются традиционные всероссийские соревнования,  проводимые ежегодно в Чебоксарах.	Рождественские гонки // «Марийская правда» (Йошкар-Ола), 2003.01.10		2003	нехудожественная | публицистика	заметка	спорт	«Марийская правда» (Йошкар-Ола)	2003.01.10	газета
